image_id_ext,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,target,pred_meta
15264314884,0.0043725898,0.0019662739,0.007845398,0.0043839025,0.004431807,0.007862933,0.0022208148,0.006688302,0.005195784,0.0009170201,0.0031920015,0.0034432313,0.0020762102,0.05353459,0.018903144,0.008432529,0.7844069,0.070043124,0.0044678818,0.005615608,13,16
15271160498,0.0035308343,0.0008534847,0.002348074,0.0025770236,0.0019006847,0.0023358688,0.0025717998,0.0023549066,0.88000965,0.039120782,0.011462851,0.015300758,0.0030079142,0.0017797009,0.0034481715,0.0045932475,0.0031331063,0.007841704,0.0069149556,0.004914443,8,8
15304836926,0.00092955376,0.0005635631,0.00033925992,0.00084663957,0.0016126102,0.002257778,0.0006825132,0.0007713599,0.00087368744,0.0003182108,0.0006189685,0.00083431625,0.96128595,0.0030060848,0.0026291618,0.011198197,0.0048273904,0.0017454923,0.0018186676,0.0028405313,12,12
15381682138,0.029483758,0.04197926,0.13961627,0.12158882,0.015247889,0.019477699,0.026374102,0.007852679,0.0030279115,0.007085865,0.22000492,0.03653566,0.0031505686,0.005382734,0.015494579,0.017650263,0.011482321,0.07435216,0.19399658,0.010215958,18,18
15397926020,0.0007603064,0.0008542895,0.08015178,0.00393339,0.86856425,0.001635995,0.023509752,0.0023399824,0.00053422205,0.0009510329,0.0008459637,0.00039403752,0.00033339977,0.0008616338,0.000658879,0.0011318773,0.00203177,0.0019551474,0.0041637146,0.004388565,6,4
15457881262,0.015785065,0.014730498,0.045505676,0.01437424,0.0127531495,0.0031377776,0.013524987,0.1273027,0.0032180636,0.018773073,0.4313254,0.022687364,0.0062722536,0.0018062644,0.0026206234,0.0076359846,0.0054353494,0.06448239,0.14594208,0.04268705,10,10
15467115078,0.012278082,0.0037413286,0.051762663,0.012163339,0.0511432,0.003795755,0.20045283,0.006415141,0.0019924408,0.004858949,0.082519576,0.009429157,0.002646211,0.0012613944,0.0073379,0.08222341,0.0139327105,0.0062336875,0.08794232,0.3578699,6,19
15473201708,0.009166458,0.0020687701,0.0023430772,0.00241898,0.0077181105,0.001578585,0.0030538724,0.0113307815,0.0040382566,0.0050753416,0.05598475,0.0064355666,0.53337437,0.0024076104,0.011383954,0.24564965,0.019618286,0.007942064,0.06428104,0.00413043,12,12
15473718448,0.0015160041,0.0028618318,0.0034305858,0.0018405922,0.0035366025,0.0021201223,0.0014612369,0.7140436,0.002342383,0.2271967,0.0014173856,0.0024631103,0.002268394,0.0021125367,0.001665395,0.0020929924,0.008500611,0.014618833,0.0022406143,0.0022705449,7,7
15502275145,0.00584573,0.0055565373,0.005947503,0.0046902276,0.0073536998,0.0014823109,0.003602354,0.05914236,0.15243232,0.6010254,0.074058115,0.018102791,0.007450318,0.0029635662,0.003994935,0.008854334,0.012417259,0.0034090665,0.014971666,0.006699526,9,9
15506908277,0.004139683,0.0017113329,0.0029051981,0.003077064,0.0044407146,0.002567759,0.0020534531,0.032908693,0.54256195,0.30474216,0.0075204913,0.030283421,0.005043678,0.0023096467,0.0044477032,0.0024366954,0.0036948314,0.03040284,0.0049300184,0.007822705,9,8
15512554485,0.0022903744,0.001087234,0.0016250492,0.0025300134,0.0020136873,0.0017933096,0.002461914,0.01662841,0.0010592319,0.0010043499,0.0028466282,0.0017564457,0.0012129918,0.0031358069,0.887732,0.0015361492,0.049344838,0.008230772,0.0069387043,0.0047720806,14,14
15520946950,0.0004959106,0.0019436522,0.00065556914,0.0006466247,0.00058212323,0.0013805507,0.00090962794,0.0015201488,0.00064732245,0.00068451586,0.001835936,0.0005907426,0.0006177492,0.0011908477,0.97735775,0.0024659645,0.0024803062,0.0016138913,0.0012646689,0.0011161271,14,14
15599740593,0.0018123327,0.078862935,0.30239755,0.52223116,0.016576612,0.0028773586,0.026641473,0.003864716,0.0016509346,0.003402867,0.0074767657,0.0023287141,0.00066490215,0.0011681339,0.004101058,0.0018986869,0.0045539117,0.007069885,0.009227656,0.001192316,3,3
